epo: 181, rat: 1.00e-02, err: 6.25e-01, obj: 1.11e+00, dat: -2.04e-02, fpp: 1.62e+00, bpp: 1.52e+00, upd: 3.97e-03, val_err:6.79e-01
epo: 183, rat: 1.00e-02, err: 5.47e-01, obj: 1.06e+00, dat: 2.17e-01, fpp: 1.63e+00, bpp: 1.51e+00, upd: 4.12e-03, val_err:6.26e-01
epo: 185, rat: 1.00e-02, err: 6.25e-01, obj: 1.10e+00, dat: 1.37e-01, fpp: 1.63e+00, bpp: 1.35e+00, upd: 3.96e-03, val_err:6.39e-01
epo: 187, rat: 1.00e-02, err: 5.94e-01, obj: 1.09e+00, dat: 1.35e-01, fpp: 1.46e+00, bpp: 1.52e+00, upd: 3.96e-03, val_err:6.53e-01
epo: 189, rat: 1.00e-02, err: 5.62e-01, obj: 1.07e+00, dat: 1.39e-01, fpp: 1.63e+00, bpp: 1.54e+00, upd: 4.09e-03, val_err:6.34e-01
epo: 191, rat: 1.00e-02, err: 6.56e-01, obj: 1.13e+00, dat: 1.30e-01, fpp: 1.62e+00, bpp: 1.35e+00, upd: 4.05e-03, val_err:6.40e-01
epo: 193, rat: 1.00e-02, err: 5.70e-01, obj: 1.07e+00, dat: 1.90e-01, fpp: 1.46e+00, bpp: 1.52e+00, upd: 4.03e-03, val_err:6.27e-01
epo: 195, rat: 1.00e-02, err: 5.70e-01, obj: 1.11e+00, dat: 1.36e-01, fpp: 1.63e+00, bpp: 1.51e+00, upd: 4.09e-03, val_err:6.81e-01
epo: 197, rat: 1.00e-02, err: 6.80e-01, obj: 1.11e+00, dat: 1.52e-01, fpp: 1.62e+00, bpp: 1.39e+00, upd: 3.91e-03, val_err:6.45e-01
epo: 199, rat: 1.00e-02, err: 5.94e-01, obj: 1.07e+00, dat: 1.35e-01, fpp: 1.57e+00, bpp: 1.51e+00, upd: 4.02e-03, val_err:6.32e-01
epo: 201, rat: 1.00e-02, err: 5.62e-01, obj: 1.06e+00, dat: -4.45e-03, fpp: 1.61e+00, bpp: 1.51e+00, upd: 4.01e-03, val_err:6.39e-01
epo: 203, rat: 1.00e-02, err: 6.02e-01, obj: 1.06e+00, dat: 1.36e-01, fpp: 1.62e+00, bpp: 1.50e+00, upd: 3.91e-03, val_err:6.63e-01
epo: 205, rat: 1.00e-02, err: 5.47e-01, obj: 1.05e+00, dat: 1.38e-01, fpp: 1.61e+00, bpp: 1.38e+00, upd: 4.08e-03, val_err:6.20e-01
epo: 207, rat: 1.00e-02, err: 6.25e-01, obj: 1.10e+00, dat: 1.44e-01, fpp: 1.50e+00, bpp: 1.51e+00, upd: 4.00e-03, val_err:6.26e-01
epo: 209, rat: 1.00e-02, err: 5.55e-01, obj: 1.05e+00, dat: 1.31e-01, fpp: 1.62e+00, bpp: 1.50e+00, upd: 4.12e-03, val_err:6.40e-01
epo: 211, rat: 1.00e-02, err: 6.64e-01, obj: 1.13e+00, dat: 2.13e-01, fpp: 1.61e+00, bpp: 1.37e+00, upd: 4.10e-03, val_err:6.00e-01
epo: 213, rat: 1.00e-02, err: 6.48e-01, obj: 1.14e+00, dat: 1.44e-01, fpp: 1.48e+00, bpp: 1.52e+00, upd: 4.03e-03, val_err:6.62e-01
epo: 215, rat: 1.00e-02, err: 6.56e-01, obj: 1.10e+00, dat: 1.37e-01, fpp: 1.62e+00, bpp: 1.50e+00, upd: 3.93e-03, val_err:6.09e-01
epo: 217, rat: 1.00e-02, err: 6.09e-01, obj: 1.07e+00, dat: 1.31e-01, fpp: 1.61e+00, bpp: 1.39e+00, upd: 3.90e-03, val_err:5.71e-01
epo: 219, rat: 1.00e-02, err: 6.02e-01, obj: 1.09e+00, dat: 1.39e-01, fpp: 1.48e+00, bpp: 1.50e+00, upd: 3.98e-03, val_err:6.44e-01
