epo: 119, rat: 1.00e-02, err: 5.55e-01, obj: 1.08e+00, dat: 1.39e-01, fpp: 3.04e+00, bpp: 2.84e+00, upd: 7.25e-03, val_err:5.91e-01
epo: 120, rat: 1.00e-02, err: 5.70e-01, obj: 1.09e+00, dat: -2.94e-02, fpp: 3.21e+00, bpp: 2.85e+00, upd: 7.45e-03, val_err:6.41e-01
epo: 121, rat: 1.00e-02, err: 6.41e-01, obj: 1.08e+00, dat: 1.42e-01, fpp: 3.21e+00, bpp: 2.85e+00, upd: 7.63e-03, val_err:6.45e-01
epo: 122, rat: 1.00e-02, err: 5.16e-01, obj: 1.03e+00, dat: 1.31e-01, fpp: 3.21e+00, bpp: 2.86e+00, upd: 7.51e-03, val_err:6.30e-01
epo: 123, rat: 1.00e-02, err: 6.17e-01, obj: 1.10e+00, dat: 1.40e-01, fpp: 3.02e+00, bpp: 3.03e+00, upd: 7.37e-03, val_err:5.97e-01
epo: 124, rat: 1.00e-02, err: 6.02e-01, obj: 1.11e+00, dat: 1.37e-01, fpp: 3.04e+00, bpp: 3.02e+00, upd: 7.61e-03, val_err:6.23e-01
epo: 125, rat: 1.00e-02, err: 5.62e-01, obj: 1.07e+00, dat: 1.35e-01, fpp: 3.05e+00, bpp: 2.84e+00, upd: 7.57e-03, val_err:6.24e-01
epo: 126, rat: 1.00e-02, err: 6.25e-01, obj: 1.12e+00, dat: 1.27e-01, fpp: 3.23e+00, bpp: 2.85e+00, upd: 7.43e-03, val_err:6.19e-01
epo: 127, rat: 1.00e-02, err: 6.17e-01, obj: 1.09e+00, dat: 1.40e-01, fpp: 3.21e+00, bpp: 2.86e+00, upd: 7.43e-03, val_err:6.17e-01
epo: 128, rat: 1.00e-02, err: 6.33e-01, obj: 1.12e+00, dat: 1.44e-01, fpp: 3.02e+00, bpp: 3.03e+00, upd: 7.48e-03, val_err:6.59e-01
epo: 129, rat: 1.00e-02, err: 5.31e-01, obj: 1.03e+00, dat: 1.36e-01, fpp: 3.04e+00, bpp: 3.03e+00, upd: 7.35e-03, val_err:6.40e-01
epo: 130, rat: 1.00e-02, err: 5.55e-01, obj: 1.06e+00, dat: 1.29e-01, fpp: 3.05e+00, bpp: 3.01e+00, upd: 7.42e-03, val_err:6.05e-01
epo: 131, rat: 1.00e-02, err: 5.78e-01, obj: 1.08e+00, dat: 1.37e-01, fpp: 3.04e+00, bpp: 2.84e+00, upd: 7.58e-03, val_err:6.19e-01
epo: 132, rat: 1.00e-02, err: 5.94e-01, obj: 1.11e+00, dat: 1.40e-01, fpp: 3.22e+00, bpp: 2.85e+00, upd: 7.53e-03, val_err:6.31e-01
epo: 133, rat: 1.00e-02, err: 5.62e-01, obj: 1.06e+00, dat: 1.34e-01, fpp: 3.21e+00, bpp: 2.86e+00, upd: 7.55e-03, val_err:6.58e-01
epo: 134, rat: 1.00e-02, err: 6.41e-01, obj: 1.13e+00, dat: 1.29e-01, fpp: 3.03e+00, bpp: 3.03e+00, upd: 7.35e-03, val_err:6.38e-01
epo: 135, rat: 1.00e-02, err: 5.70e-01, obj: 1.07e+00, dat: 1.34e-01, fpp: 3.04e+00, bpp: 3.02e+00, upd: 7.34e-03, val_err:6.78e-01
epo: 136, rat: 1.00e-02, err: 6.48e-01, obj: 1.16e+00, dat: 1.48e-01, fpp: 3.04e+00, bpp: 2.84e+00, upd: 7.30e-03, val_err:6.52e-01
epo: 137, rat: 1.00e-02, err: 6.80e-01, obj: 1.18e+00, dat: 1.34e-01, fpp: 3.05e+00, bpp: 2.85e+00, upd: 7.50e-03, val_err:6.68e-01
epo: 138, rat: 1.00e-02, err: 6.33e-01, obj: 1.10e+00, dat: 1.30e-01, fpp: 3.23e+00, bpp: 2.85e+00, upd: 7.61e-03, val_err:6.84e-01
epo: 139, rat: 1.00e-02, err: 6.17e-01, obj: 1.09e+00, dat: 1.41e-01, fpp: 3.20e+00, bpp: 2.86e+00, upd: 7.49e-03, val_err:6.12e-01
epo: 140, rat: 1.00e-02, err: 5.39e-01, obj: 1.07e+00, dat: 1.35e-01, fpp: 3.03e+00, bpp: 3.03e+00, upd: 7.51e-03, val_err:6.53e-01
epo: 141, rat: 1.00e-02, err: 5.55e-01, obj: 1.07e+00, dat: 1.42e-01, fpp: 3.03e+00, bpp: 3.02e+00, upd: 7.55e-03, val_err:6.22e-01
epo: 142, rat: 1.00e-02, err: 5.86e-01, obj: 1.11e+00, dat: 1.30e-01, fpp: 3.05e+00, bpp: 2.84e+00, upd: 7.67e-03, val_err:6.46e-01
epo: 143, rat: 1.00e-02, err: 6.17e-01, obj: 1.09e+00, dat: -2.96e-02, fpp: 3.21e+00, bpp: 2.85e+00, upd: 7.52e-03, val_err:6.14e-01
epo: 144, rat: 1.00e-02, err: 5.23e-01, obj: 1.06e+00, dat: 1.41e-01, fpp: 3.20e+00, bpp: 2.86e+00, upd: 7.53e-03, val_err:6.23e-01
epo: 145, rat: 1.00e-02, err: 5.23e-01, obj: 1.07e+00, dat: 1.34e-01, fpp: 3.20e+00, bpp: 2.86e+00, upd: 7.38e-03, val_err:6.51e-01
epo: 146, rat: 1.00e-02, err: 5.16e-01, obj: 1.06e+00, dat: 1.28e-01, fpp: 3.04e+00, bpp: 3.02e+00, upd: 7.51e-03, val_err:6.67e-01
epo: 147, rat: 1.00e-02, err: 5.31e-01, obj: 1.09e+00, dat: 1.43e-01, fpp: 3.04e+00, bpp: 3.01e+00, upd: 7.44e-03, val_err:6.25e-01
